Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Kg. Batu 18,"Kg. Batu 18, Bandar Baharu, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Kg. Lombong,"Kg. Lombong, Bandar Baharu, Kedah",1,,
2015.0,8/6,8/6/2015,Kedah,Bandar Baharu,Kg. Sg. Air Puteh,"Kg. Sg. Air Puteh, Bandar Baharu, Kedah",1,5.1874842,100.5729112
2015.0,5/8,5/8/2015,Kedah,Sik,Kg. Begia,"Kg. Begia, Sik, Kedah",1,5.8153901,100.6460051
2015.0,5/8,5/8/2015,Kedah,Yan,Kg. Teroi,"Kg. Teroi, Yan, Kedah",1,5.8411421,100.4404232
2015.0,10/9,10/9/2015,Kedah,Yan,Kg. Teroi,"Kg. Teroi, Yan, Kedah",1,5.8411421,100.4404232
2015.0,22/9,22/9/2015,Kedah,Sik,Kg. Jerai,"Kg. Jerai, Sik, Kedah",1,,
2015.0,24/9,24/9/2015,Kedah,Langkawi,Kg. Kelibang,"Kg. Kelibang, Langkawi, Kedah",1,,
2015.0,24/9,24/9/2015,Kedah,Langkawi,Kuarters JPS Langkawi,"Kuarters JPS Langkawi, Langkawi, Kedah",1,,
2015.0,24/9,24/9/2015,Kedah,Langkawi,Lubuk Setoi,"Lubuk Setoi, Langkawi, Kedah",1,,
2015.0,27/9,27/9/2015,Kedah,Langkawi,Kg. Lubuk Hantu,"Kg. Lubuk Hantu, Langkawi, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Jln. Telok Wan Jah,"Jln. Telok Wan Jah, Kota Setar, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Lrg. Titi Siam,"Lrg. Titi Siam, Kota Setar, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Jln. Pegawai,"Jln. Pegawai, Kota Setar, Kedah",1,6.1150178,100.3631346
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Jln. Sultanah,"Jln. Sultanah, Kota Setar, Kedah",1,6.1426827500000005,100.36566738886074
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Taman Golf,"Taman Golf, Kota Setar, Kedah",1,6.151708,100.3762317
2015.0,1/10,1/10/2015,Kedah,Kota Setar,Taman Uda,"Taman Uda, Kota Setar, Kedah",1,6.1454932,100.3849278
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Pekan Serdan,"Pekan Serdan, Bandar Baharu, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Kg. Majidee Tengah,"Kg. Majidee Tengah, Bandar Baharu, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Kg. Sg. Punti,"Kg. Sg. Punti, Bandar Baharu, Kedah",1,5.2451514,100.6018669
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Taman Melor,"Taman Melor, Bandar Baharu, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Kg. Batu 16,"Kg. Batu 16, Bandar Baharu, Kedah",1,,
2015.0,1/10,1/10/2015,Kedah,Bandar Baharu,Kg. Batu 18,"Kg. Batu 18, Bandar Baharu, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Sik,Kg. Baggol,"Kg. Baggol, Sik, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Sik,Kg. Sik Dalam,"Kg. Sik Dalam, Sik, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Kuala Muda,Kg. Sg. Bongkok,"Kg. Sg. Bongkok, Kuala Muda, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Bandar Baharu,Kg. Paya Semambu,"Kg. Paya Semambu, Bandar Baharu, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Bandar Baharu,Kg. Ulu Relau,"Kg. Ulu Relau, Bandar Baharu, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Bandar Baharu,Kg. Sg. Ponti,"Kg. Sg. Ponti, Bandar Baharu, Kedah",1,,
2015.0,6/10,6/10/2015,Kedah,Bandar Baharu,Kg. Majide Tengah,"Kg. Majide Tengah, Bandar Baharu, Kedah",1,,
